ensemblid	counts
ENSMUSG00000000001	451
ENSMUSG00000000003	0
ENSMUSG00000000028	0
ENSMUSG00000000031	0
ENSMUSG00000000037	0
ENSMUSG00000000049	16
ENSMUSG00000000056	377
ENSMUSG00000000058	453
ENSMUSG00000000078	143
ENSMUSG00000000085	216
ENSMUSG00000000088	309
ENSMUSG00000000093	71
ENSMUSG00000000094	0
ENSMUSG00000000103	0
ENSMUSG00000000120	1
ENSMUSG00000000125	0
ENSMUSG00000000126	0
ENSMUSG00000000127	107
ENSMUSG00000000131	354
ENSMUSG00000000134	88
ENSMUSG00000000142	3
ENSMUSG00000000148	173
ENSMUSG00000000149	320
ENSMUSG00000000154	1471
ENSMUSG00000000157	23
ENSMUSG00000000159	233
ENSMUSG00000000167	33
ENSMUSG00000000168	1368
ENSMUSG00000000171	1198
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	39
ENSMUSG00000000194	202
ENSMUSG00000000197	11
ENSMUSG00000000202	0
ENSMUSG00000000204	3
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	281
ENSMUSG00000000223	2
ENSMUSG00000000244	3
ENSMUSG00000000247	0
ENSMUSG00000000248	0
ENSMUSG00000000253	104
ENSMUSG00000000263	1
ENSMUSG00000000266	435
ENSMUSG00000000275	620
ENSMUSG00000000276	112
ENSMUSG00000000278	390
ENSMUSG00000000282	85
ENSMUSG00000000290	15
ENSMUSG00000000295	20
ENSMUSG00000000296	33
ENSMUSG00000000301	28
ENSMUSG00000000303	719
ENSMUSG00000000305	2
ENSMUSG00000000308	47
ENSMUSG00000000317	20
ENSMUSG00000000318	0
ENSMUSG00000000320	46
ENSMUSG00000000325	56
ENSMUSG00000000326	1002
ENSMUSG00000000339	30
ENSMUSG00000000340	677
ENSMUSG00000000346	2009
ENSMUSG00000000355	214
ENSMUSG00000000359	14
ENSMUSG00000000365	0
ENSMUSG00000000374	420
ENSMUSG00000000378	233
ENSMUSG00000000381	0
ENSMUSG00000000384	159
ENSMUSG00000000385	483
ENSMUSG00000000386	5
ENSMUSG00000000392	7
ENSMUSG00000000394	1
ENSMUSG00000000399	439
ENSMUSG00000000402	111
ENSMUSG00000000409	0
ENSMUSG00000000411	0
ENSMUSG00000000416	124
ENSMUSG00000000420	1285
ENSMUSG00000000435	0
ENSMUSG00000000439	37
ENSMUSG00000000440	4
ENSMUSG00000000441	280
ENSMUSG00000000486	6
ENSMUSG00000000489	52
ENSMUSG00000000530	18
ENSMUSG00000000531	14
ENSMUSG00000000532	131
ENSMUSG00000000538	509
ENSMUSG00000000544	0
ENSMUSG00000000552	15
ENSMUSG00000000555	41
ENSMUSG00000000560	1
ENSMUSG00000000561	154
ENSMUSG00000000562	3
ENSMUSG00000000563	1938
ENSMUSG00000000567	4
ENSMUSG00000000568	394
ENSMUSG00000000579	257
ENSMUSG00000000581	293
ENSMUSG00000000594	2088
ENSMUSG00000000600	299
ENSMUSG00000000605	157
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	2
ENSMUSG00000000628	1
ENSMUSG00000000631	346
ENSMUSG00000000632	37
ENSMUSG00000000673	401
ENSMUSG00000000682	5
ENSMUSG00000000686	0
ENSMUSG00000000690	63
ENSMUSG00000000693	2
ENSMUSG00000000701	0
ENSMUSG00000000702	0
ENSMUSG00000000706	1
ENSMUSG00000000708	441
ENSMUSG00000000711	994
ENSMUSG00000000724	9
ENSMUSG00000000730	1
ENSMUSG00000000731	1
ENSMUSG00000000732	24
ENSMUSG00000000738	146
ENSMUSG00000000739	0
ENSMUSG00000000740	426
ENSMUSG00000000743	67
ENSMUSG00000000751	85
ENSMUSG00000000753	2
ENSMUSG00000000759	184
ENSMUSG00000000766	11
ENSMUSG00000000776	21
ENSMUSG00000000782	14
ENSMUSG00000000787	1874
ENSMUSG00000000791	0
ENSMUSG00000000792	1
ENSMUSG00000000794	12
ENSMUSG00000000804	558
ENSMUSG00000000805	385
ENSMUSG00000000811	66
ENSMUSG00000000817	0
ENSMUSG00000000823	105
ENSMUSG00000000826	378
ENSMUSG00000000827	186
ENSMUSG00000000838	389
ENSMUSG00000000861	10
ENSMUSG00000000869	0
ENSMUSG00000000876	607
ENSMUSG00000000881	76
ENSMUSG00000000884	17
ENSMUSG00000000889	0
ENSMUSG00000000901	40
ENSMUSG00000000902	163
ENSMUSG00000000903	0
ENSMUSG00000000915	38
ENSMUSG00000000916	21
ENSMUSG00000000934	72
ENSMUSG00000000938	99
ENSMUSG00000000942	2
ENSMUSG00000000948	223
ENSMUSG00000000957	8
ENSMUSG00000000958	757
ENSMUSG00000000959	227
ENSMUSG00000000976	171
ENSMUSG00000000982	0
ENSMUSG00000000983	0
ENSMUSG00000001014	0
ENSMUSG00000001016	46
ENSMUSG00000001017	301
ENSMUSG00000001018	176
ENSMUSG00000001020	1
ENSMUSG00000001021	0
ENSMUSG00000001023	0
ENSMUSG00000001025	36
ENSMUSG00000001027	0
ENSMUSG00000001029	25
ENSMUSG00000001034	23
ENSMUSG00000001036	213
ENSMUSG00000001039	19
ENSMUSG00000001052	421
ENSMUSG00000001053	14
ENSMUSG00000001054	77
ENSMUSG00000001056	132
ENSMUSG00000001062	131
ENSMUSG00000001065	21
ENSMUSG00000001076	0
ENSMUSG00000001082	26
ENSMUSG00000001089	382
ENSMUSG00000001095	209
ENSMUSG00000001098	28
ENSMUSG00000001100	294
ENSMUSG00000001103	0
ENSMUSG00000001105	208
ENSMUSG00000001119	51
ENSMUSG00000001120	99
ENSMUSG00000001123	58
ENSMUSG00000001127	589
ENSMUSG00000001128	1
ENSMUSG00000001131	0
ENSMUSG00000001134	33
ENSMUSG00000001138	116
ENSMUSG00000001143	214
ENSMUSG00000001150	101
ENSMUSG00000001151	137
ENSMUSG00000001155	227
ENSMUSG00000001156	47
ENSMUSG00000001157	167
ENSMUSG00000001158	63
ENSMUSG00000001166	2
ENSMUSG00000001168	0
ENSMUSG00000001173	249
ENSMUSG00000001175	1608
ENSMUSG00000001211	1403
ENSMUSG00000001225	13
ENSMUSG00000001227	11
ENSMUSG00000001228	8
ENSMUSG00000001229	99
ENSMUSG00000001240	37
ENSMUSG00000001247	46
ENSMUSG00000001248	50
ENSMUSG00000001249	486
ENSMUSG00000001260	3
ENSMUSG00000001270	209
ENSMUSG00000001280	760
ENSMUSG00000001281	3
ENSMUSG00000001285	50
ENSMUSG00000001288	20
ENSMUSG00000001289	239
ENSMUSG00000001300	84
ENSMUSG00000001305	16
ENSMUSG00000001313	13
ENSMUSG00000001323	474
ENSMUSG00000001333	0
ENSMUSG00000001334	8
ENSMUSG00000001348	124
ENSMUSG00000001349	1
ENSMUSG00000001366	169
ENSMUSG00000001376	558
ENSMUSG00000001379	41
ENSMUSG00000001380	95
ENSMUSG00000001383	84
ENSMUSG00000001403	25
ENSMUSG00000001415	120
ENSMUSG00000001416	214
ENSMUSG00000001417	38
ENSMUSG00000001418	650
ENSMUSG00000001419	241
ENSMUSG00000001420	0
ENSMUSG00000001424	83
ENSMUSG00000001435	314
ENSMUSG00000001436	262
ENSMUSG00000001440	482
ENSMUSG00000001441	282
