ensemblid	counts
ENSMUSG00000000001	2069
ENSMUSG00000000003	0
ENSMUSG00000000028	198
ENSMUSG00000000031	0
ENSMUSG00000000037	2
ENSMUSG00000000049	11
ENSMUSG00000000056	265
ENSMUSG00000000058	1922
ENSMUSG00000000078	3558
ENSMUSG00000000085	1877
ENSMUSG00000000088	752
ENSMUSG00000000093	241
ENSMUSG00000000094	2
ENSMUSG00000000103	5
ENSMUSG00000000120	4
ENSMUSG00000000125	0
ENSMUSG00000000126	3
ENSMUSG00000000127	136
ENSMUSG00000000131	1091
ENSMUSG00000000134	968
ENSMUSG00000000142	0
ENSMUSG00000000148	189
ENSMUSG00000000149	945
ENSMUSG00000000154	1849
ENSMUSG00000000157	195
ENSMUSG00000000159	1438
ENSMUSG00000000167	33
ENSMUSG00000000168	1554
ENSMUSG00000000171	2886
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	46
ENSMUSG00000000194	393
ENSMUSG00000000197	2
ENSMUSG00000000202	0
ENSMUSG00000000204	16
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	818
ENSMUSG00000000223	7
ENSMUSG00000000244	4
ENSMUSG00000000247	52
ENSMUSG00000000248	10
ENSMUSG00000000253	1300
ENSMUSG00000000263	0
ENSMUSG00000000266	961
ENSMUSG00000000275	2734
ENSMUSG00000000276	532
ENSMUSG00000000278	1051
ENSMUSG00000000282	412
ENSMUSG00000000290	38
ENSMUSG00000000295	49
ENSMUSG00000000296	142
ENSMUSG00000000301	68
ENSMUSG00000000303	3675
ENSMUSG00000000305	33
ENSMUSG00000000308	359
ENSMUSG00000000317	31
ENSMUSG00000000318	2
ENSMUSG00000000320	31
ENSMUSG00000000325	199
ENSMUSG00000000326	7239
ENSMUSG00000000339	108
ENSMUSG00000000340	801
ENSMUSG00000000346	8166
ENSMUSG00000000355	399
ENSMUSG00000000359	26
ENSMUSG00000000365	0
ENSMUSG00000000374	885
ENSMUSG00000000378	261
ENSMUSG00000000381	4
ENSMUSG00000000384	500
ENSMUSG00000000385	1428
ENSMUSG00000000386	10
ENSMUSG00000000392	4
ENSMUSG00000000394	0
ENSMUSG00000000399	648
ENSMUSG00000000402	80
ENSMUSG00000000409	4
ENSMUSG00000000411	0
ENSMUSG00000000416	323
ENSMUSG00000000420	2396
ENSMUSG00000000435	0
ENSMUSG00000000439	476
ENSMUSG00000000440	128
ENSMUSG00000000441	922
ENSMUSG00000000486	61
ENSMUSG00000000489	624
ENSMUSG00000000530	62
ENSMUSG00000000531	17
ENSMUSG00000000532	129
ENSMUSG00000000538	1249
ENSMUSG00000000544	0
ENSMUSG00000000552	77
ENSMUSG00000000555	194
ENSMUSG00000000560	1
ENSMUSG00000000561	996
ENSMUSG00000000562	11
ENSMUSG00000000563	2365
ENSMUSG00000000567	785
ENSMUSG00000000568	623
ENSMUSG00000000579	852
ENSMUSG00000000581	474
ENSMUSG00000000594	2124
ENSMUSG00000000600	1171
ENSMUSG00000000605	432
ENSMUSG00000000606	1
ENSMUSG00000000617	0
ENSMUSG00000000627	3
ENSMUSG00000000628	72
ENSMUSG00000000631	2695
ENSMUSG00000000632	3
ENSMUSG00000000673	57
ENSMUSG00000000682	56
ENSMUSG00000000686	2
ENSMUSG00000000690	553
ENSMUSG00000000693	51
ENSMUSG00000000701	0
ENSMUSG00000000702	0
ENSMUSG00000000706	52
ENSMUSG00000000708	919
ENSMUSG00000000711	1039
ENSMUSG00000000724	30
ENSMUSG00000000730	0
ENSMUSG00000000731	13
ENSMUSG00000000732	4
